log_id,customer_id,ticket_type,rating,status,log_date
LOG_00001,CUST_0040,Account Problem,,RESOLVED,2025-03-26
LOG_00002,CUST_0787,General Inquiry,,open,2025-03-23
LOG_00003,CUST_0081,Account Problem,1,Closed,2025-01-05
LOG_00004,CUST_0959,Account Problem,5,pending,2025-12-12
LOG_00005,CUST_0208,Delivery Query,1,Pending,2025-06-24
LOG_00006,CUST_0483,Refund Request,2,Open,2025-04-15
LOG_00007,CUST_0971,Refund Request,1,open,2025-11-28
LOG_00008,CUST_0981,Delivery Query,2,Open,2025-04-12
LOG_00009,CUST_0393,Technical Issue,,RESOLVED,2025-06-15
LOG_00010,CUST_0466,Refund Request,,Closed,2025-06-22
LOG_00011,CUST_0852,Delivery Query,3,RESOLVED,2025-04-08
LOG_00012,CUST_0484,Refund Request,3,RESOLVED,2025-11-01
LOG_00013,CUST_0465,Account Problem,5,open,2025-03-22
LOG_00014,CUST_0886,Technical Issue,,open,2025-04-19
LOG_00015,CUST_0061,Technical Issue,3,RESOLVED,2025-05-07
LOG_00016,CUST_0781,Delivery Query,,pending,2025-08-10
LOG_00017,CUST_0425,General Inquiry,2,Open,2025-02-12
LOG_00018,CUST_0618,Delivery Query,,Closed,2025-04-19
LOG_00019,CUST_0666,Technical Issue,5,Open,2025-04-06
LOG_00020,CUST_0916,Account Problem,3,pending,2025-07-01
LOG_00021,CUST_0935,Delivery Query,2,Open,2025-04-01
LOG_00022,CUST_0636,Refund Request,4,open,2025-01-04
LOG_00023,CUST_0591,Refund Request,,RESOLVED,2025-06-15
LOG_00024,CUST_0319,Delivery Query,4,closed,2025-01-05
LOG_00025,CUST_0927,Delivery Query,,pending,2025-04-11
LOG_00026,CUST_0043,Technical Issue,5,RESOLVED,2025-05-10
LOG_00027,CUST_0034,Delivery Query,,pending,2025-04-13
LOG_00028,CUST_0847,Delivery Query,,Closed,2025-02-07
LOG_00029,CUST_0832,Delivery Query,3,closed,2025-07-18
LOG_00030,CUST_0986,Account Problem,4,open,2025-07-19
LOG_00031,CUST_0381,General Inquiry,4,closed,2025-01-03
LOG_00032,CUST_0183,Technical Issue,2,Pending,2025-11-11
LOG_00033,CUST_0277,Refund Request,1,Closed,2025-11-25
LOG_00034,CUST_0992,Refund Request,4,RESOLVED,2025-06-01
